 - 1x Elite Arcanist, Magic 2014
 - 1x Disciple of the Ring, Magic Origins
 - 1x Champion of Lambholt, Avacyn Restored
 - 1x Ludevic's Test Subject // Ludevic's Abomination, Innistrad
 - 1x Ulvenwald Tracker, Avacyn Restored
 - 1x Xathrid Gorgon, Magic 2013
 - 1x Angelic Skirmisher (Resale Foil), Promos: Miscellaneous
 - 1x Ob Nixilis, Unshackled, Magic 2015
 - 1x Fiendslayer Paladin, Magic 2014
 - 1x Drana, Liberator of Malakir, Battle for Zendikar
 - 1x Delver of Secrets // Insectile Aberration, Innistrad
 - 1x Advent of the Wurm, Dragon's Maze
 - 1x Scab-Clan Mauler - Foil, Guildpact
 - 1x Mercy Killing, Shadowmoor
 - 1x Fleecemane Lion, Theros
 - 1x Reef Worm, Commander 2014
 - 1x Thunderbreak Regent, Dragons of Tarkir
 - 1x Avenger of Zendikar - Foil, Duel Decks: Zendikar vs. Eldrazi
 - 1x Darksteel Ingot, Darksteel
 - 1x Paradise Mantle, Fifth Dawn
 - 1x Wayfarer's Bauble, Commander 2015
 - 1x Mana Cylix, Planeshift
 - 1x Manalith, Magic 2012
 - 1x Spectral Searchlight, Conspiracy
 - 1x Frontier Bivouac, Khans of Tarkir
 - 1x Mystic Monastery, Khans of Tarkir
 - 1x Nomad Outpost, Khans of Tarkir
 - 1x Opulent Palace, Khans of Tarkir
 - 1x Sandsteppe Citadel, Khans of Tarkir
 - 1x Crumbling Necropolis, Shards of Alara
 - 1x Jungle Shrine, Shards of Alara
 - 1x Savage Lands, Shards of Alara
 - 1x Seaside Citadel, Shards of Alara
 - 1x Arcane Sanctum - Foil, Shards of Alara
 - 1x Mana Confluence, Journey into Nyx
   
